dataset,sampling,method,images,cpsnr_rgb,mae_rgb_255,mse_rgb_255,ciede2000,ssim_luma,fsim_luma
kodak,center_box,conventional/bicubic,24,46.595637965810575,0.6690778025874385,1.5794589077984844,0.7168130976193283,0.9990151575217688,0.9998706504702568
kodak,center_box,conventional/bilinear,24,45.54629093980038,0.7488424513075089,2.019493385597512,0.7848408935893357,0.9990116520900297,0.9998658647139868
kodak,center_box,prism_cartesian_prob,24,46.54530078838956,0.6965691248575846,1.572469817267524,0.7412309327918675,0.9990319772851214,0.999882365266482
kodak,center_box,prism_polar,24,46.50335502887243,0.701785193549262,1.6017617826108577,0.7461139265710287,0.9990317713156616,0.9998834306995074
kodak,center_box,prism_polar_prob,24,46.42881180954291,0.7048596276177301,1.6277283562554252,0.74937825148715,0.9990288973588357,0.9998832494020462
kodak,center_box,prism_residual,24,46.43227756697033,0.7054006082040293,1.6249316180193862,0.750201397462241,0.9990342247867224,0.9998832121491432
kodak,center_box,scaled_matrix/bicubic,24,47.14178115802266,0.5685184266832141,1.4293702796653462,0.6110536179966223,0.999576146532315,0.999947652220726
kodak,center_box,scaled_matrix/bilinear,24,45.93561972728761,0.6607604556613499,1.8819198608398438,0.6935611457716128,0.999562768253213,0.9999419550100962
kodak,center_box,v5,24,40.713555258423504,1.720177756415473,5.66081428527832,1.6407452047749838,0.998460829617514,0.999556802213192
kodak,center_box,v5_1,24,44.27623265353552,1.0439159252025463,2.566376297562211,0.8951073338970142,0.9985246529016064,0.9995766058564186
kodak,center_box,v6,24,47.944188048993645,0.628262272587529,1.094954596625434,0.688475478296721,0.9990368716418206,0.999883400897185
kodak,center_box,v7,24,46.22099414799268,0.7183387191207321,1.6842997515643086,0.7704404960729115,0.9990185938359959,0.9998784437775612
kodak,cosited_point,conventional/bicubic,24,46.67322532399965,0.6543626078852901,1.5807748370700414,0.733647250872428,0.9989842247101387,0.9998537649710973
kodak,cosited_point,conventional/bilinear,24,47.247287547668634,0.6046109022917572,1.4096578315452293,0.6943849046430399,0.9989882806784883,0.9998553395271301
kodak,cosited_point,prism_cartesian_prob,24,43.53416555563654,0.9391796677200882,3.4161270989312076,0.9680527960062921,0.9990139253010782,0.9998778601487478
kodak,cosited_point,prism_polar,24,43.489141135340965,0.9486531151665583,3.435047644155997,0.9674573955694047,0.9990180200738877,0.9998810316125551
kodak,cosited_point,prism_polar_prob,24,43.986576038568295,0.890234982525861,2.9474531103063506,0.9155081587438114,0.9990135686641239,0.999878299733003
kodak,cosited_point,prism_residual,24,43.08890961334938,1.0023091634114583,3.7779097380461515,1.0252805102062619,0.9990180748417008,0.9998798494537672
kodak,cosited_point,scaled_decode_first/bicubic,24,47.72880802926273,0.46451610989040804,1.3128384484185114,0.5237095894181614,0.9996275779839211,0.999939834078153
kodak,cosited_point,scaled_decode_first/bilinear,24,48.42125611039589,0.41601919244836877,1.1580396228366427,0.4854729318799693,0.999603967609346,0.9999397173523903
kodak,cosited_point,scaled_hybrid/bicubic,24,46.881304087254755,0.5687855261343497,1.520151102984393,0.6348464924579962,0.9995943494611437,0.9999367520213127
kodak,cosited_point,scaled_hybrid/bilinear,24,47.61003223926426,0.5057524928340206,1.3217087498417606,0.5806003595996783,0.9996022632511536,0.9999392454822859
kodak,cosited_point,scaled_lifting/bicubic,24,46.873591322476365,0.5693928047462745,1.5219355689154732,0.6349174484053057,0.9995912998839507,0.9999361485242844
kodak,cosited_point,scaled_lifting/bilinear,24,47.600735100813836,0.5064505117910879,1.3234341939290364,0.5807326275647396,0.9995993860642054,0.9999385898311933
kodak,cosited_point,scaled_matrix/bicubic,24,47.476281625346616,0.5087786427250615,1.3693978698165328,0.5769484188345991,0.99958635744259,0.9999344448248545
kodak,cosited_point,scaled_matrix/bilinear,24,48.149690960042484,0.457288106282552,1.209037710119177,0.5356487243777305,0.9995990248430299,0.9999372959136963
kodak,cosited_point,v5,24,38.29607921943629,2.0462078518337674,10.291610505845812,1.975604590745039,0.9983119009774928,0.9995131393273672
kodak,cosited_point,v5_1,24,40.52857655432022,1.5054311045893918,6.495387642471879,1.3811039621983754,0.9984059340413965,0.9995386352141699
kodak,cosited_point,v6,24,43.185086595443146,1.042303579824942,3.561844295925564,1.080251294405982,0.9989924286520849,0.9998677720626196
kodak,cosited_point,v7,24,43.87302083551239,0.9068097008599173,3.0073163774278426,0.9437222608176681,0.9989907641092878,0.99986382573843
uhd240,cosited_point,conventional/bicubic,240,51.27593289439738,0.4350857262299349,0.4875387083378036,0.48790500138812715,0.9985799985095161,0.9998025933901469
uhd240,cosited_point,conventional/bilinear,240,51.24215418412197,0.4329367325159037,0.49203080132130245,0.48397907221975955,0.9985815670764959,0.9998010970652104
uhd240,cosited_point,prism_cartesian_prob,240,51.12489817017491,0.44388940420516804,0.5052967022682843,0.497273825221768,0.9985796101112181,0.9998048615952333
uhd240,cosited_point,prism_polar,240,50.93380748968934,0.4544749325757393,0.5285328034884926,0.5067315563081691,0.998573366529783,0.9998051099479198
uhd240,cosited_point,prism_polar_prob,240,50.730281443960486,0.4663788157311275,0.5550390551808021,0.5159277849987638,0.9985699546547722,0.9998061187565327
uhd240,cosited_point,prism_residual,240,51.044522190753135,0.44827108522069736,0.5148240310519888,0.5012344394152844,0.9985780874587256,0.9998049768308799
uhd240,cosited_point,scaled_decode_first/bicubic,240,56.817298064955125,0.11879040480876514,0.14459317980106595,0.13245503705353254,0.9998106480577211,0.9999990279475848
uhd240,cosited_point,scaled_decode_first/bilinear,240,56.42125460369331,0.12357476415958964,0.15952986834282673,0.13561896569132176,0.9997937633224405,0.999998901039362
uhd240,cosited_point,scaled_hybrid/bicubic,240,51.90211085301178,0.343227604838301,0.4224190148876172,0.3811060908842227,0.9994808361928954,0.9999659848709901
uhd240,cosited_point,scaled_hybrid/bilinear,240,52.27502729354685,0.3153675591254234,0.3895879032371444,0.3499854638245481,0.9995127730844721,0.999964602291584
uhd240,cosited_point,scaled_lifting/bicubic,240,51.84196965436565,0.34495021009900545,0.4283361686072922,0.3811592295957286,0.9994813963973245,0.999964160223802
uhd240,cosited_point,scaled_lifting/bilinear,240,52.21540709978555,0.3171936764142215,0.39496822078154764,0.35019300619991145,0.9995149466704959,0.9999628233412902
uhd240,cosited_point,scaled_matrix/bicubic,240,54.61254119945196,0.20047908826383956,0.23044621886017122,0.23222726791668113,0.9996563919175734,0.9999764395256837
uhd240,cosited_point,scaled_matrix/bilinear,240,54.456412478381466,0.2003068622472376,0.2399851379493309,0.22965120437916228,0.9996722757414508,0.9999761387705803
uhd240,cosited_point,v5,240,41.64610029156506,1.6910854404697666,4.800125767252743,1.5381007266161029,0.9977309814271523,0.9995363622903823
uhd240,cosited_point,v5_1,240,45.88247218799915,0.9822367349423383,1.769510170416851,0.7984357790398334,0.9978967731098614,0.9995831693212192
uhd240,cosited_point,v6,240,50.27361587926673,0.494317742621991,0.6179197345003736,0.5469120741978989,0.99856965135385,0.9998064525425434
uhd240,cosited_point,v7,240,50.70133047456251,0.4695508177894663,0.559262643272895,0.5221096572267814,0.998572278894597,0.9998105272650719
